combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,KF_SVR,0.182,0.1251,-0.0115,0.3171
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,KF_SVR,0.1816,0.1407,-0.0065,0.3812
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_50,KF_SVR,0.1769,0.0929,0.0391,0.3025
R3D,R3D,512,339,pca_50,KF_SVR,0.1641,0.087,0.0422,0.2655
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,KF_GradientBoosting,0.1597,0.1435,-0.0268,0.3654
R3D,R3D,512,339,pca_30,KF_SVR,0.158,0.0825,0.0483,0.2898
Temporal,R3D,512,339,pca_30,KF_SVR,0.1534,0.0792,0.0102,0.247
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,SVR,0.1486,0.0775,-0.0014,0.206
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,KF_SVR,0.148,0.1478,-0.1165,0.3003
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,KF_GradientBoosting,0.1472,0.1562,-0.0746,0.3353
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_30,KF_SVR,0.145,0.067,0.0247,0.213
LBP,LBP,768,339,spearman_50,KF_GradientBoosting,0.1448,0.1356,-0.058,0.3017
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,KF_SVR,0.1437,0.1224,-0.0816,0.264
Temporal,R3D,512,339,pca_50,KF_SVR,0.1421,0.1072,0.0043,0.2809
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,MLP,0.142,0.0589,0.0689,0.2201
DenseNet121,DenseNet121,3072,339,none,GradientBoosting,0.1365,0.0942,-0.0379,0.2366
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,Ridge,0.1317,0.0401,0.0587,0.1791
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,KF_GradientBoosting,0.13,0.034,0.0745,0.1708
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,KF_GradientBoosting,0.1297,0.0454,0.0732,0.2041
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,GradientBoosting,0.1292,0.1067,-0.0426,0.2721
